GEOID,county_idx,NAME
48331,1309,Milam
24029,1310,Kent
42009,1311,Bedford
10001,1312,Kent
24013,1313,Carroll
48231,1314,Hunt
24005,1315,Baltimore
54069,1316,Ohio
29189,1317,St. Louis
18121,1318,Parke
39159,1319,Union
17045,1320,Edgar
48355,1321,Nueces
18135,1322,Randolph
05143,1323,Washington
39041,1324,Delaware
24510,1325,Baltimore
48123,1326,DeWitt
17173,1327,Shelby
29071,1328,Franklin
42057,1329,Fulton
48145,1330,Falls
29161,1331,Phelps
17029,1332,Coles
18095,1333,Madison
39031,1334,Coshocton
29043,1335,Christian
18057,1336,Hamilton
29510,1337,St. Louis
29209,1338,Stone
39067,1339,Harrison
18165,1340,Vermillion
40135,1341,Sequoyah
42055,1342,Franklin
39081,1343,Jefferson
29225,1344,Webster
39149,1345,Shelby
17135,1346,Montgomery
