GEOID,total_population,median_household_income,poverty_rate_pct,pct_no_vehicle
22083,20028,48125.0,22.92290792889954,6.1823166552433175
22085,22209,40777.0,23.58053041559728,8.52620218251589
22087,44038,55857.0,22.34433897997184,7.195525044495296
22089,52191,79191.0,10.057289570998831,3.334947017373998
22091,10872,46402.0,27.060338484179542,10.764235764235766
22093,20090,62946.0,11.358885017421603,8.442251267004535
22095,41986,65114.0,13.885580907921687,4.050682773109244
22097,82574,44478.0,26.977014556640107,9.673659673659674
22099,51856,50806.0,17.392394322739896,7.934990439770555
22101,49114,47322.0,21.629270676385552,11.14451363538759
22103,266168,76914.0,11.527306062336569,3.8295854246532035
22105,133953,55274.0,18.58562331564056,5.88597969501418
22107,4127,35653.0,33.995638478313545,8.725674827369742
22109,108862,63088.0,16.104793224449303,7.9363932056378745
22111,21049,47068.0,26.162763076630718,6.387665198237885
22113,57202,56194.0,19.071011503094297,9.099705123479543
22115,48452,56547.0,17.31610666226368,8.039038700214373
22117,45514,41803.0,22.6172166805818,10.080410208600396
22119,36761,34263.0,26.89807132558962,8.708871022228228
22121,27377,80510.0,14.325893998611974,5.367063492063492
22123,9800,45035.0,18.642857142857142,3.5667107001321003
22125,15358,71985.0,10.9128792811564,3.8984824699110416
22127,13665,44922.0,17.277716794731067,9.442851290454731
23001,111532,64500.0,11.95531327332066,9.01254773595199
23003,67237,50843.0,14.508380802236864,8.585012142148647
23005,303357,87710.0,7.009892634750475,7.011795543905635
23007,29839,56890.0,11.65253527262978,9.172368849788205
23009,55851,64149.0,10.651555030348606,5.571776155717761
23011,124003,62118.0,12.046482746385168,7.344907580633091
23013,40729,68904.0,9.555844729799407,5.78177727784027
23015,35466,69638.0,8.971973157390178,5.363452801615346
23017,58276,54780.0,14.17221497700597,5.607557261786654
23019,152640,59438.0,12.845911949685535,8.164931618697693
23021,16936,51805.0,14.637458667926312,6.140580088842436
23023,36868,77591.0,10.792557231203212,5.846824408468245
23025,50656,53527.0,16.44622552116235,6.24263839811543
23027,39772,62694.0,12.659660062355426,5.792735909169901
23029,31096,51669.0,16.966812451762284,7.449392712550608
23031,212691,79743.0,7.866811477683589,5.185450315422129
24001,68161,55248.0,14.219274951951997,9.558662879615468
24003,588109,116009.0,5.728019805852316,3.7554577274203442
24005,850737,88157.0,9.973234971559954,7.843316261476335
24009,93244,128078.0,4.245849598901806,3.076553298882346
24011,33320,65326.0,12.6890756302521,6.135020394572546
24013,173225,111672.0,4.991196420839948,4.024132158312012
24015,103876,86869.0,9.955138819361546,5.241750978697443
24017,167035,116882.0,5.8245277935761965,3.337555949666413
24019,32557,57490.0,15.207175108271647,9.980326876513317
24021,273829,115724.0,6.061812298916477,3.865213082259663
24023,28856,64447.0,10.822705849736623,7.3505784061696655
24025,261059,106417.0,7.095713995686799,3.964704215660481
